,index,dist,narrow_first,means,stds,skew,sub,Experiment
0,0,narrow,1.0,39.0,13.703203194062977,-1.0752031916912967,sub-6081ca47eeed1bb51c1d7f7b,2
1,1,skew,1.0,66.36363636363636,16.89540012709215,-0.059062043529194266,sub-6081ca47eeed1bb51c1d7f7b,2
2,2,wide,1.0,71.0,21.317702607092645,-0.24773652637291788,sub-6081ca47eeed1bb51c1d7f7b,2
3,0,narrow,2.0,48.888888888888886,12.78274981412284,-0.3395200612629541,sub-611688156f6d22853511ffb3,2
4,1,skew,2.0,60.666666666666664,20.86236073022646,0.007342067779455897,sub-611688156f6d22853511ffb3,2
5,2,wide,2.0,29.285714285714285,40.280609137989366,0.9916885237646658,sub-611688156f6d22853511ffb3,2
6,0,narrow,1.0,44.6875,16.84547895698791,-0.2447489309612024,sub-5deb638bff7f7126d6fb5142,2
7,1,skew,1.0,55.116279069767444,18.692001475453637,-0.2485086409812997,sub-5deb638bff7f7126d6fb5142,2
8,2,wide,1.0,42.857142857142854,34.33899629672753,0.4418458619663867,sub-5deb638bff7f7126d6fb5142,2
9,0,narrow,2.0,79.0,17.919573407620817,-0.3939169403669955,sub-5bd6656a669ee1000145304a,2
10,1,skew,2.0,48.0,14.757295747452437,0.1659504311458624,sub-5bd6656a669ee1000145304a,2
11,2,wide,2.0,59.0,40.124805295477756,-0.540755834389886,sub-5bd6656a669ee1000145304a,2
12,0,narrow,1.0,51.0,21.83269719175042,1.2828004144891259,sub-63bb0d793cee514d16b866ef,2
13,1,skew,1.0,64.54545454545455,19.679246105293956,-0.7832978155086073,sub-63bb0d793cee514d16b866ef,2
14,2,wide,1.0,28.88888888888889,16.9148192751537,-1.3734478842650688,sub-63bb0d793cee514d16b866ef,2
15,0,narrow,1.0,47.567567567567565,24.766173773180288,-0.22682088988991864,sub-63eb13f36c0fe9ba20d45234,2
16,1,skew,1.0,63.333333333333336,26.311740579210877,-1.4867887543292757,sub-63eb13f36c0fe9ba20d45234,2
17,2,wide,1.0,47.567567567567565,33.78078064730211,-0.34484172162910987,sub-63eb13f36c0fe9ba20d45234,2
18,0,narrow,1.0,37.0,9.486832980505136,-0.23424278964210216,sub-60abdc82ec2d1e548b986424,2
19,1,skew,1.0,57.0,9.486832980505138,-0.23424278964210243,sub-60abdc82ec2d1e548b986424,2
20,2,wide,1.0,32.0,12.292725943057183,-0.4665599919996833,sub-60abdc82ec2d1e548b986424,2
21,0,narrow,-1.0,50.0,37.14835124201342,-0.35762082866182493,sub-61057d03e42ef519f98f4e6d,2
22,1,skew,-1.0,37.5,32.84161123592185,0.7461056366039879,sub-61057d03e42ef519f98f4e6d,2
23,2,wide,-1.0,69.0909090909091,30.80731908314823,-0.4978830468424705,sub-61057d03e42ef519f98f4e6d,2
24,0,narrow,1.0,56.0,9.66091783079296,0.1109033934657356,sub-63150b2e1cfa995c03244696,2
25,1,skew,1.0,62.22222222222222,8.333333333333332,-0.5005714285714286,sub-63150b2e1cfa995c03244696,2
26,2,wide,1.0,50.0,41.09609335312651,0.14407823587271668,sub-63150b2e1cfa995c03244696,2
27,0,narrow,1.0,43.68421052631579,15.709348354753427,-0.1128671525578522,sub-5df81cd72713055bdf02efd8,2
28,1,skew,1.0,66.25,21.998376563477848,-1.5113493660037827,sub-5df81cd72713055bdf02efd8,2
29,2,wide,1.0,35.78947368421053,30.24268313230385,0.9099699813118896,sub-5df81cd72713055bdf02efd8,2
30,0,narrow,1.0,51.578947368421055,13.022697235014476,0.013083725472738386,sub-5d8793d36c53380015139da9,2
31,1,skew,1.0,52.857142857142854,27.774602993176543,-0.24950220037730084,sub-5d8793d36c53380015139da9,2
32,2,wide,1.0,51.37931034482759,31.70445416330493,-0.22212625186414325,sub-5d8793d36c53380015139da9,2
33,0,narrow,-1.0,34.4,16.603212540549695,-0.7170140622304754,sub-5de7d12c26dd95000b6824c5,2
34,1,skew,-1.0,55.714285714285715,12.224996910042533,0.3969687037289977,sub-5de7d12c26dd95000b6824c5,2
35,2,wide,-1.0,50.78947368421053,30.436604824273985,-0.05483850443609509,sub-5de7d12c26dd95000b6824c5,2
36,0,narrow,1.0,48.57142857142857,21.157009420498152,0.25945830022693295,sub-5b6cd50f9ee1a50001c5f481,2
37,1,skew,1.0,54.0,18.16590212458495,-0.5671631517317617,sub-5b6cd50f9ee1a50001c5f481,2
38,2,wide,1.0,51.42857142857143,38.800702384035596,-0.10741772585523336,sub-5b6cd50f9ee1a50001c5f481,2
39,0,narrow,2.0,50.55555555555556,13.920878193318217,0.47849319839566523,sub-63eac31811a6da58d4f32d76,2
40,1,skew,2.0,76.66666666666667,12.344267996967355,0.214207174526702,sub-63eac31811a6da58d4f32d76,2
41,2,wide,2.0,36.666666666666664,39.91657967979388,0.8762493585465839,sub-63eac31811a6da58d4f32d76,2
42,0,narrow,1.0,63.0,23.593784492248517,-0.003806950059705008,sub-5f51287698edeb30a0cf878d,2
43,1,skew,1.0,66.0,14.298407059684811,0.31928153760402034,sub-5f51287698edeb30a0cf878d,2
44,2,wide,1.0,47.0,35.29242915351047,0.06369617839952829,sub-5f51287698edeb30a0cf878d,2
48,0,narrow,1.0,38.421052631578945,15.370663939515444,-1.7573886685131537,sub-58a2952076c5b7000166150a,2
49,1,skew,1.0,70.83333333333333,25.39088359425425,-2.1508131304573883,sub-58a2952076c5b7000166150a,2
50,2,wide,1.0,60.0,46.475800154489,-0.9682458365518543,sub-58a2952076c5b7000166150a,2
