Blocktype	tnum	rt	color	p1	select	dist	side	response
Risk	0.0	3266.0	red	0.3	right	narrow	"[""left""]"	j
Risk	1.0	2080.0	red	0.7	left	narrow	"[""left""]"	f
Risk	2.0	2595.0	red	0.5	right	narrow	"[""left""]"	j
Risk	3.0	2430.0	red	0.3	left	narrow	"[""right""]"	f
Risk	4.0	1646.0	red	0.4	right	narrow	"[""left""]"	j
Risk	5.0	1483.0	red	0.5	left	narrow	"[""right""]"	f
Risk	6.0	1264.0	red	0.5	left	narrow	"[""right""]"	f
Risk	7.0	1749.0	red	0.4	left	narrow	"[""right""]"	f
Risk	8.0	1383.0	red	0.5	left	narrow	"[""right""]"	f
Risk	9.0	1397.0	red	0.6	right	narrow	"[""left""]"	j
Risk	10.0	1244.0	red	0.4	left	narrow	"[""right""]"	f
Risk	11.0	1174.0	red	0.5	right	narrow	"[""left""]"	j
Risk	12.0	1103.0	red	0.5	left	narrow	"[""right""]"	f
Risk	13.0	984.0	red	0.6	left	narrow	"[""right""]"	f
Risk	14.0	1472.0	red	0.2	right	narrow	"[""left""]"	j
Risk	15.0	1136.0	red	0.6	left	narrow	"[""right""]"	f
Risk	16.0	996.0	red	0.5	left	narrow	"[""right""]"	f
Risk	17.0	993.0	red	0.5	left	narrow	"[""right""]"	f
Risk	18.0	1021.0	red	0.5	left	narrow	"[""right""]"	f
Risk	19.0	830.0	red	0.5	left	narrow	"[""right""]"	f
Risk	20.0	2432.0	green	0.1	left	wide	"[""right""]"	f
Risk	21.0	2021.0	green	0.9	left	wide	"[""left""]"	f
Risk	22.0	1831.0	green	0.0	left	wide	"[""right""]"	f
Risk	23.0	1458.0	green	0.0	right	wide	"[""left""]"	j
Risk	24.0	1882.0	green	1.0	right	wide	"[""right""]"	j
Risk	25.0	1392.0	green	0.0	left	wide	"[""right""]"	f
Risk	26.0	1344.0	green	0.9	left	wide	"[""left""]"	f
Risk	27.0	1143.0	green	0.2	right	wide	"[""left""]"	j
Risk	28.0	1306.0	green	0.1	left	wide	"[""right""]"	f
Risk	29.0	1157.0	green	0.0	right	wide	"[""left""]"	j
Risk	30.0	1279.0	green	1.0	right	wide	"[""right""]"	j
Risk	31.0	1094.0	green	0.9	left	wide	"[""left""]"	f
Risk	32.0	1035.0	green	0.8	right	wide	"[""right""]"	j
Risk	33.0	952.0	green	0.1	right	wide	"[""left""]"	j
Risk	34.0	1034.0	green	0.7	left	wide	"[""left""]"	f
Risk	35.0	1249.0	green	0.0	left	wide	"[""right""]"	f
Risk	36.0	1146.0	green	0.8	left	wide	"[""left""]"	f
Risk	37.0	942.0	green	0.2	right	wide	"[""left""]"	j
Risk	38.0	632.0	green	0.3	right	wide	"[""left""]"	j
Risk	39.0	971.0	green	1.0	left	wide	"[""left""]"	f
Risk	40.0	1855.0	blue	0.7	left	skew	"[""left""]"	f
Risk	41.0	1294.0	blue	0.7	right	skew	"[""right""]"	j
Risk	42.0	931.0	blue	0.7	left	skew	"[""left""]"	f
Risk	43.0	762.0	blue	0.7	right	skew	"[""right""]"	j
Risk	44.0	544.0	blue	0.7	right	skew	"[""right""]"	j
Risk	45.0	804.0	blue	0.7	right	skew	"[""right""]"	j
Risk	46.0	1613.0	blue	0.6000000000000001	right	skew	"[""left""]"	j
Risk	47.0	1081.0	blue	0.8	left	skew	"[""left""]"	f
Risk	48.0	447.0	blue	0.8999999999999999	left	skew	"[""left""]"	f
Risk	49.0	567.0	blue	0.6000000000000001	right	skew	"[""right""]"	j
Risk	50.0	579.0	blue	0.6000000000000001	left	skew	"[""right""]"	f
Risk	51.0	754.0	blue	0.5	right	skew	"[""left""]"	j
Risk	52.0	835.0	blue	0.7	right	skew	"[""right""]"	j
Risk	53.0	449.0	blue	0.8	right	skew	"[""right""]"	j
Risk	54.0	543.0	blue	0.5	left	skew	"[""right""]"	f
Risk	55.0	875.0	blue	0.7	left	skew	"[""left""]"	f
Risk	56.0	606.0	blue	0.7	left	skew	"[""left""]"	f
Risk	57.0	823.0	blue	0.4	left	skew	"[""right""]"	f
Risk	58.0	678.0	blue	0.7	left	skew	"[""left""]"	f
Risk	59.0	617.0	blue	0.8	right	skew	"[""right""]"	j
